Pair: DNase_H3K36me3
Median R2: E088 - 0.00011925916032440309
Max R2: E022 - 0.13285089194725042
Min R2: E029 - 1.0740229505756815e-07
All R2 values:
E128 - 4.133888367707783e-05
E008 - 0.002421904259421459
E005 - 0.0002614100587065016
E100 - 0.0002864823080044321
E081 - 8.458288114832069e-05
E125 - 3.5639985089597204e-05
E090 - 2.6947432689605755e-05
E051 - 2.0201482155979278e-06
E033 - 1.3018407202247673e-06
E092 - 0.00037881503115577697
E022 - 0.13285089194725042
E083 - 0.00013891756587902648
E127 - 0.0014355045390012089
E007 - 0.0010796129403469745
E004 - 0.00013255224362684892
E091 - 0.00014968078599220114
E124 - 1.833327772837734e-05
E080 - 9.416897226266485e-05
E021 - 0.0012512131215751676
E126 - 0.0009309715366493387
E082 - 0.0011086175630957706
E050 - 1.020150525732344e-05
E032 - 0.0002475130310420903
E093 - 0.00028734956115750165
E006 - 0.0002825327536853939
E017 - 4.592031285999276e-06
E119 - 7.20770567643747e-05
E098 - 0.0010841431065303775
E028 - 6.872911472843857e-05
E089 - 7.46786768646146e-07
E056 - 0.001578244808905005
E034 - 0.00024025256565474162
E084 - 2.9130853661074596e-05
E120 - 2.010160462528887e-06
E114 - 0.00022230785861498958
E116 - 0.00010591657231662222
E086 - 4.0075217266899443e-07
E122 - 1.424637354052738e-05
E097 - 0.0004449514825265455
E059 - 0.005820461616678263
E109 - 2.3643085157787347e-05
E118 - 2.489971050601003e-05
E029 - 1.0740229505756815e-07
E088 - 0.00011925916032440309
E121 - 5.314483779939039e-06
E046 - 5.056489964738731e-06
E085 - 2.848151332557336e-06
E057 - 4.980483884087228e-06
E094 - 0.005287770163055372
E117 - 1.6761803345310966e-07
E003 - 0.0001954608893633969
E055 - 0.0016269577696376158
E123 - 0.00036782347545538663
