Pair: H3K27ac_DNase
Median R2: E125 - 0.04746608642777694
Max R2: E034 - 0.11709752153124853
Min R2: E021 - 0.002250256129470607
All R2 values:
E123 - 0.06265949440402163
E114 - 0.0570864369663332
E089 - 0.08334024290919417
E007 - 0.040441079425560744
E008 - 0.019603173467542034
E120 - 0.05300245393813108
E050 - 0.05115456828919307
E017 - 0.020385912685555785
E117 - 0.07469558608204152
E004 - 0.042510755613748175
E085 - 0.06500793698748841
E118 - 0.038749632777384524
E055 - 0.06016845284281136
E125 - 0.04746608642777694
E046 - 0.08448025293917771
E080 - 0.04006267243473238
E093 - 0.08493864501648851
E126 - 0.038428946471617986
E056 - 0.05450410234613179
E029 - 0.04536943236432622
E090 - 0.11188778735866312
E059 - 0.06332825133231612
E006 - 0.03703279411502336
E022 - 0.02977741584786553
E122 - 0.06173303646419859
E094 - 0.03308484857737837
E109 - 0.038156916566085775
E032 - 0.11587679687302532
E005 - 0.02371381137569961
E021 - 0.002250256129470607
E116 - 0.1088083403986283
E121 - 0.08224397337816092
E098 - 0.04371454908799011
E119 - 0.038471291993209866
E097 - 0.04521552982575083
E084 - 0.0839316568953764
E100 - 0.04709572758808567
E124 - 0.07468198139970572
E092 - 0.11304138644592898
E003 - 0.016136997830666577
E034 - 0.11709752153124853
E127 - 0.033396777536867206
E128 - 0.02829645462501884
E091 - 0.04659029294857686
