Pair: H3K27ac_H3K9ac
Median R2: E038 - 0.40518971301755335
Max R2: E123 - 0.6689639106844749
Min R2: E006 - 0.03894211454677843
All R2 values:
E123 - 0.6689639106844749
E014 - 0.3402104321446098
E114 - 0.6041642972126504
E007 - 0.09720481366539024
E008 - 0.16669053599304484
E108 - 0.49304820711287733
E120 - 0.4772528184386263
E017 - 0.5158294730380419
E020 - 0.38441048631767105
E067 - 0.3704120838895155
E117 - 0.6117168096351553
E004 - 0.28259333679609255
E074 - 0.3568438920520772
E068 - 0.41764287847302395
E118 - 0.43713617715145137
E062 - 0.46081630707622756
E125 - 0.4532755491297228
E101 - 0.4767486077120021
E049 - 0.24171577464285332
E111 - 0.5154338591238827
E026 - 0.29498518973420507
E011 - 0.09036114315924115
E126 - 0.4411819063492589
E102 - 0.535399972051156
E072 - 0.31870866891153815
E076 - 0.37308363947909307
E006 - 0.03894211454677843
E115 - 0.39009531731707214
E122 - 0.4921257462532559
E015 - 0.39544199659605583
E087 - 0.318054576082594
E075 - 0.46088064684350216
E005 - 0.07042791444661811
E116 - 0.5722520461018883
E066 - 0.41921567619999545
E121 - 0.597753025813391
E016 - 0.32263157270802023
E119 - 0.45578262636277567
E069 - 0.36210017483352464
E019 - 0.3503285243618427
E047 - 0.21315853563731524
E124 - 0.4019960615922341
E063 - 0.44175135470305193
E038 - 0.40518971301755335
E003 - 0.2596577552550483
E073 - 0.44943002954225597
E103 - 0.22630539343751765
E127 - 0.505614418920822
E128 - 0.4734432373208777
