Pair: H3K4me3_H3K4me1
Median R2: E106 - 0.012531406667
Max R2: E062 - 0.179707005143
Min R2: E013 - 0.000247018570977
All R2 values:
E084 - 0.00107412230975
E097 - 0.000357084035986
E019 - 0.00836359467522
E069 - 0.0245304733685
E119 - 0.00369879314258
E098 - 0.00444993704202
E016 - 0.00189208876451
E121 - 0.00712969426778
E051 - 0.0293153261934
E066 - 0.0349898727739
E116 - 0.0676348782409
E021 - 0.00297275368013
E042 - 0.0317386352788
E005 - 0.00383956178131
E032 - 0.00330191746878
E105 - 0.0073645609316
E075 - 0.0465402913644
E087 - 0.00122184800347
E009 - 0.00821996060414
E079 - 0.00390768084665
E109 - 0.00868002544208
E094 - 0.0119875132918
E015 - 0.00499126102038
E052 - 0.00967758386415
E122 - 0.00806697467505
E115 - 0.0171627293285
E065 - 0.0043178485541
E022 - 0.01614577655
E088 - 0.0147481345943
E041 - 0.0209359780947
E006 - 0.00648337721325
E031 - 0.0696999481031
E076 - 0.0330773242658
E106 - 0.012531406667
E082 - 0.0187885203985
E028 - 0.00141327213947
E091 - 0.00786213188241
E128 - 0.00552962063178
E058 - 0.00920738566795
E027 - 0.00445464347325
E110 - 0.0538173566425
E127 - 0.0145485887948
E057 - 0.0081885511072
E010 - 0.0138740363361
E103 - 0.0194003920462
E073 - 0.0288808524409
E034 - 0.00787094636362
E003 - 0.00331634149171
E044 - 0.0324648437412
E038 - 0.0370903863796
E081 - 0.0135251272549
E048 - 0.0604871878378
E092 - 0.00289428714861
E024 - 0.0103566921971
E113 - 0.0441517924374
E063 - 0.0551774646561
E054 - 0.0160106347496
E124 - 0.0323813403146
E013 - 0.000247018570977
E070 - 0.020581633629
E100 - 0.00189347076597
E037 - 0.029813140556
E047 - 0.00796801461004
E118 - 0.00936267688567
E068 - 0.0258449978825
E018 - 0.00434116429134
E096 - 0.00993555395284
E085 - 0.00168430135246
E033 - 0.0387950689069
E074 - 0.0311783415393
E104 - 0.000552416798085
E043 - 0.0236666414743
E004 - 0.00818984421467
E117 - 0.0153348949735
E067 - 0.030527774659
E020 - 0.00972702836029
E017 - 0.000701610143234
E050 - 0.0316102375886
E120 - 0.00159057960586
E099 - 0.0161160984516
E095 - 0.00046685749724
E108 - 0.0372340106024
E078 - 0.0243258930609
E008 - 0.000879199141695
E086 - 0.00949267194145
E030 - 0.04906878613
E107 - 0.0261983330122
E077 - 0.034559248627
E040 - 0.0611851026229
E007 - 0.00747963115655
E089 - 0.00588508793355
E114 - 0.0160213017565
E023 - 0.0151612067054
E014 - 0.00432977302599
E123 - 0.0206014990948
E053 - 0.0120596332957
E059 - 0.0175331393018
E129 - 0.00973896681381
E090 - 0.00357921682131
E029 - 0.00208865261446
E083 - 0.0603744815988
E002 - 0.00299420593445
E045 - 0.0343753839859
E072 - 0.0220164393174
E102 - 0.0252128845707
E035 - 0.066508649227
E056 - 0.0306330760456
E126 - 0.00664261801409
E011 - 0.0132567697977
E026 - 0.0139732858096
E111 - 0.0424227747717
E061 - 0.00927744464907
E093 - 0.00289491812852
E049 - 0.02288241468
E080 - 0.00617006118429
E039 - 0.0181176439171
E001 - 0.00715872809926
E046 - 0.00417562564021
E101 - 0.0350431372812
E071 - 0.0178873256245
E036 - 0.0224482170641
E125 - 0.0164483700527
E055 - 0.0176490460815
E012 - 0.00177765804779
E025 - 0.00666049654103
E062 - 0.179707005143
E112 - 0.0066126893877
