Pair: H3K9ac_H3K36me3
Median R2: E014 - 0.0016337863631067373
Max R2: E007 - 0.03546779465376404
Min R2: E124 - 6.285958393803526e-07
All R2 values:
E011 - 0.0005684163686382471
E062 - 0.005081379072768288
E008 - 0.011954694171206537
E121 - 0.000272114574571547
E069 - 0.009300084848436696
E003 - 0.0022575009466117013
E117 - 5.999726981542608e-05
E027 - 0.01745570806904584
E108 - 0.000711591460468286
E103 - 0.019698839856321038
E086 - 0.002293474516641636
E038 - 0.0023989596935511948
E052 - 0.0006553213147101333
E111 - 0.010939057221282633
E127 - 0.0007658243069338377
E005 - 0.03294889156797709
E017 - 0.001152342727790412
E076 - 0.01029459716304404
E063 - 0.0028940431581684356
E002 - 0.005819187855939267
E120 - 0.0005828066783437613
E068 - 0.0050517610878574315
E116 - 0.0004358460584340529
E026 - 0.0008343722439930756
E047 - 0.008707223337582448
E020 - 0.0007774802041108364
E102 - 0.000707158976492539
E087 - 0.0006361167068587026
E110 - 0.0073291900065961535
E004 - 0.002713302947950136
E126 - 0.00025764517916471164
E016 - 0.0002463140800061936
E077 - 0.0032549637906577056
E018 - 0.009061499686355723
E072 - 0.00697605832873649
E123 - 0.0007976381318345327
E001 - 3.136152083882404e-05
E128 - 0.0008032916340195984
E115 - 0.0007036553956115688
E107 - 0.003710552193165517
E025 - 0.0005893260676065326
E049 - 0.0006875557718725167
E101 - 0.0022149813169483057
E023 - 0.00021889016705123332
E118 - 0.0004101817896455806
E066 - 0.0007176875186757359
E125 - 0.00014855485543596725
E007 - 0.03546779465376404
E074 - 0.008614404432355727
E015 - 0.0006263056596909067
E073 - 0.012722018142633962
E019 - 0.00034855289971391645
E122 - 3.114452696428849e-05
E114 - 0.014072278233573488
E088 - 0.006094941410017762
E083 - 1.7467339310850427e-05
E119 - 0.000571434539363147
E067 - 0.010500407125604072
E006 - 0.007969427451919198
E124 - 6.285958393803526e-07
E075 - 0.004303349171401294
E014 - 0.0016337863631067373
