Pair: H3K9ac_H3K4me1
Median R2: E122 - 0.042078982835106804
Max R2: E062 - 0.35334381136144255
Min R2: E001 - 0.0020593799987537187
All R2 values:
E011 - 0.00964854033669893
E062 - 0.35334381136144255
E008 - 0.023941140008547857
E121 - 0.10954497898771043
E069 - 0.09560820056235342
E003 - 0.01516888275831163
E117 - 0.02251042021508265
E027 - 0.06169267654951949
E108 - 0.04732233619197401
E103 - 0.04289374105482735
E086 - 0.01797395912860522
E038 - 0.017410378375372404
E052 - 0.08664029293739983
E111 - 0.09598471147030929
E127 - 0.03538316719550538
E005 - 0.04943981131212605
E017 - 0.041146540803253084
E076 - 0.0947414763956892
E063 - 0.10354493293449674
E002 - 0.014508329174900414
E120 - 0.049215218345206924
E068 - 0.09131224027686546
E116 - 0.0320129828615493
E026 - 0.03983730551203701
E047 - 0.009746040442755843
E020 - 0.027831312182127754
E102 - 0.05749421433269375
E087 - 0.003992914958417693
E110 - 0.03385346879182882
E004 - 0.011510491281772728
E126 - 0.01911786525191439
E016 - 0.008466172356101254
E077 - 0.09929319476600373
E018 - 0.025154068266602936
E072 - 0.0947068024958132
E123 - 0.017199281318414306
E001 - 0.0020593799987537187
E128 - 0.01143224405608323
E115 - 0.04872132225735615
E107 - 0.05101988141592806
E025 - 0.026189742657172776
E049 - 0.03715410398341856
E101 - 0.07420228295728881
E023 - 0.04382700393027039
E118 - 0.021990451892669793
E066 - 0.06409916938740423
E125 - 0.06905709630760148
E007 - 0.05018135170582616
E074 - 0.10639781233310686
E015 - 0.014605526434477878
E073 - 0.09609703659112001
E019 - 0.011220193213931084
E122 - 0.042078982835106804
E114 - 0.046885651512887816
E088 - 0.052258095926217885
E083 - 0.0490206512602126
E119 - 0.03844155984080677
E067 - 0.10384685086010237
E006 - 0.01825365368637033
E124 - 0.016257844996591664
E075 - 0.09124766749052948
E014 - 0.01879513967297175
