Pair: H3K9me3_DNase
Median R2: E046 - 0.003388466242685184
Max R2: E093 - 0.0736767306359496
Min R2: E088 - 5.671250102867731e-08
All R2 values:
E003 - 0.006375644242751499
E034 - 0.0016059945875483983
E057 - 0.0035651332553289228
E127 - 0.003627869158799757
E128 - 0.00013453293592824433
E091 - 0.009311567878107163
E028 - 0.0001509961874102128
E082 - 0.006604877304463241
E100 - 0.011268055057314097
E124 - 0.0013806119114960769
E092 - 0.01699532934961523
E081 - 0.009541808462921297
E032 - 0.001786330206547726
E005 - 0.015435957658772259
E116 - 0.0019820996541954905
E021 - 0.0005747980058873337
E051 - 0.010463074792076643
E121 - 2.7237026473447834e-05
E098 - 0.02905372260893435
E119 - 0.0020423347360580824
E097 - 0.016150588111139896
E084 - 0.023126655645879235
E006 - 6.036955065258365e-05
E088 - 5.671250102867731e-08
E022 - 0.02214122987012801
E122 - 0.0006540261171855688
E094 - 0.05499163229377002
E109 - 0.07120530977043105
E126 - 0.0013111132699999972
E056 - 0.0003616415875923318
E083 - 0.0018589490106512008
E029 - 0.001429980760827232
E090 - 0.003694929209866471
E059 - 0.00805708621334833
E055 - 0.003641346557361813
E125 - 0.011883511415950565
E046 - 0.003388466242685184
E080 - 0.009626037229608198
E093 - 0.0736767306359496
E017 - 0.0009346151102038736
E120 - 0.000882358855332166
E050 - 0.021862915140820838
E117 - 0.0009823554934540457
E004 - 0.001475852220876095
E033 - 0.0001309855454167952
E085 - 0.01687092167154758
E118 - 0.00010543304711019275
E123 - 0.0003902907354635943
E114 - 4.399339458360796e-05
E089 - 0.00020856162473736894
E007 - 0.011560595488543046
E086 - 0.0003157135256817156
E008 - 0.022697603835408975
